"Role","Role Id","Object","Domain","Matrix Code","Status","Detail"
"Administrator","admin","Inventory Adjustments","Inventory","CRE","IMPLEMENTED","Create: inventory.action.create | Read: inventory.action.read | Edit: inventory.cycleCount.reconcile"
"Administrator","admin","Purchase Orders","Procurement","CRE","IMPLEMENTED","Create: reorder.purchaseOrder.create | Read: reorder.purchaseOrder.read | Edit: reorder.purchaseOrder.void"
"Administrator","admin","Receiving","Inventory","CRE","PARTIAL","HAS Edit: inventory.stock.receive — MISSING Create (no capability exists for this verb) | Read (no capability exists for this verb)"
"Administrator","admin","Transfer Orders","Inventory","CRE","IMPLEMENTED","Create: inventory.transfer.create | Read: warehouse.transferOrder.read | Edit: inventory.transfer.dispatch, inventory.transfer.receive, inventory.transfer.cancel"
"Administrator","admin","Serialized Assets","Inventory","CRE","PARTIAL","HAS Read: inventory.serializedAsset.read — MISSING Create (no capability exists for this verb) | Edit (no capability exists for this verb)"
"Administrator","admin","Equipment / Installed Base","Service","CRE","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Administrator","admin","Invoices / AR","Finance","CRE","IMPLEMENTED","Create: finance.invoice.issue | Read: finance.read | Edit: finance.adjustment.record"
"Administrator","admin","Payments","Finance","CRE","IMPLEMENTED","Create: finance.payment.apply | Read: finance.read | Edit: finance.refund.record"
"Administrator","admin","Notifications","Platform","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Administrator","admin","Users","Administration","CRED","PARTIAL","HAS Edit: admin.userStatus.write, admin.credentialReset.initiate — MISSING Create (no capability exists for this verb) | Read (no capability exists for this verb)"
"Administrator","admin","Roles / Permissions","Administration","CRE","PARTIAL","HAS Edit: admin.roleAssignment.write, admin.accessRequest.decide — MISSING Create (no capability exists for this verb) | Read (no capability exists for this verb)"
"Administrator","admin","Audit Log","Administration","R","IMPLEMENTED","Read: audit.event.read"
"Sales Manager","salesManager","Accounts","CRM","CRE","IMPLEMENTED","Create: account.record.create | Read: account.record.read | Edit: account.record.update"
"Sales Manager","salesManager","Contacts","CRM","CRE","RULES ONLY","firestore.rules /contacts/{contactId}"
"Sales Manager","salesManager","Customer Locations","CRM","CRE","RULES ONLY","firestore.rules /locations/{locationId}"
"Sales Manager","salesManager","Opportunities","Sales","CRE","PARTIAL","HAS Read: opportunity.read | Edit: opportunity.write — MISSING Create (no capability exists for this verb)"
"Sales Manager","salesManager","Marketing Initiatives","Marketing","R","NO CAPABILITY","no id in the catalog governs this object"
"Sales Manager","salesManager","Sales Orders","Sales","CRE","PARTIAL","HAS Read: salesOrder.read — MISSING Create: none of opportunity.createSalesOrder | Edit: none of salesOrder.write, salesOrder.fulfill, salesOrder.service"
"Sales Manager","salesManager","Commissions","Sales / Finance","R","NO CAPABILITY","no id in the catalog governs this object"
"Sales Manager","salesManager","Work Orders","Service","R","NOT GRANTED","Read (no capability exists for this verb)"
"Sales Manager","salesManager","Dispatch Schedule","Service","R","NOT GRANTED","Read: none of fulfillment.coordinatedVisit.read"
"Sales Manager","salesManager","Parts Catalog","Inventory","R","NOT GRANTED","Read: none of inventory.catalog.read"
"Sales Manager","salesManager","Inventory Stock","Inventory","R","IMPLEMENTED","Read: inventory.transaction.read"
"Sales Manager","salesManager","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Sales Manager","salesManager","Invoices / AR","Finance","R","NOT GRANTED","Read: none of finance.read"
"Sales Manager","salesManager","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Sales Manager","salesManager","Audit Log","Administration","R","NOT GRANTED","Read: none of audit.event.read"
"Salesperson","salesperson","Accounts","CRM","CRE","IMPLEMENTED","Create: account.record.create | Read: account.record.read | Edit: account.record.update"
"Salesperson","salesperson","Contacts","CRM","CRE","RULES ONLY","firestore.rules /contacts/{contactId}"
"Salesperson","salesperson","Customer Locations","CRM","CRE","RULES ONLY","firestore.rules /locations/{locationId}"
"Salesperson","salesperson","Opportunities","Sales","CRE","PARTIAL","HAS Read: opportunity.read | Edit: opportunity.write — MISSING Create (no capability exists for this verb)"
"Salesperson","salesperson","Marketing Initiatives","Marketing","R","NO CAPABILITY","no id in the catalog governs this object"
"Salesperson","salesperson","Sales Orders","Sales","CRE","PARTIAL","HAS Read: salesOrder.read — MISSING Create: none of opportunity.createSalesOrder | Edit: none of salesOrder.write, salesOrder.fulfill, salesOrder.service"
"Salesperson","salesperson","Commissions","Sales / Finance","R","NO CAPABILITY","no id in the catalog governs this object"
"Salesperson","salesperson","Work Orders","Service","R","NOT GRANTED","Read (no capability exists for this verb)"
"Salesperson","salesperson","Parts Catalog","Inventory","R","NOT GRANTED","Read: none of inventory.catalog.read"
"Salesperson","salesperson","Inventory Stock","Inventory","R","IMPLEMENTED","Read: inventory.transaction.read"
"Salesperson","salesperson","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Salesperson","salesperson","Invoices / AR","Finance","R","NOT GRANTED","Read: none of finance.read"
"Salesperson","salesperson","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Marketing","marketingManager","Accounts","CRM","R","IMPLEMENTED","Read: account.record.read"
"Marketing","marketingManager","Contacts","CRM","R","RULES ONLY","firestore.rules /contacts/{contactId}"
"Marketing","marketingManager","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Marketing","marketingManager","Opportunities","Sales","R","IMPLEMENTED","Read: opportunity.read"
"Marketing","marketingManager","Marketing Initiatives","Marketing","CRED","NO CAPABILITY","no id in the catalog governs this object"
"Marketing","marketingManager","Sales Orders","Sales","R","IMPLEMENTED","Read: salesOrder.read"
"Marketing","marketingManager","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Service Manager","fieldManager","Accounts","CRM","R","IMPLEMENTED","Read: account.record.read"
"Service Manager","fieldManager","Contacts","CRM","R","RULES ONLY","firestore.rules /contacts/{contactId}"
"Service Manager","fieldManager","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Service Manager","fieldManager","Sales Orders","Sales","R","NOT GRANTED","Read: none of salesOrder.read"
"Service Manager","fieldManager","Work Orders","Service","CRE","PARTIAL","HAS Create: workOrder.create | Edit: workOrder.transition, workOrder.cancel — MISSING Read (no capability exists for this verb)"
"Service Manager","fieldManager","Dispatch Schedule","Service","CRE","PARTIAL","HAS Read: fulfillment.coordinatedVisit.read — MISSING Create (no capability exists for this verb) | Edit (no capability exists for this verb)"
"Service Manager","fieldManager","Technician Time / Non-work","Service","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Service Manager","fieldManager","Parts Catalog","Inventory","R","NOT GRANTED","Read: none of inventory.catalog.read"
"Service Manager","fieldManager","Inventory Stock","Inventory","R","IMPLEMENTED","Read: inventory.transaction.read"
"Service Manager","fieldManager","Serialized Assets","Inventory","R","NOT GRANTED","Read: none of inventory.serializedAsset.read"
"Service Manager","fieldManager","Equipment / Installed Base","Service","CRE","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Service Manager","fieldManager","Invoices / AR","Finance","R","NOT GRANTED","Read: none of finance.read"
"Service Manager","fieldManager","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Service Manager","fieldManager","Audit Log","Administration","R","NOT GRANTED","Read: none of audit.event.read"
"Dispatcher","dispatcher","Accounts","CRM","R","IMPLEMENTED","Read: account.record.read"
"Dispatcher","dispatcher","Contacts","CRM","R","RULES ONLY","firestore.rules /contacts/{contactId}"
"Dispatcher","dispatcher","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Dispatcher","dispatcher","Sales Orders","Sales","R","IMPLEMENTED","Read: salesOrder.read"
"Dispatcher","dispatcher","Work Orders","Service","CRE","PARTIAL","HAS Create: workOrder.create | Edit: workOrder.transition, workOrder.cancel — MISSING Read (no capability exists for this verb)"
"Dispatcher","dispatcher","Dispatch Schedule","Service","CRE","PARTIAL","HAS Read: fulfillment.coordinatedVisit.read — MISSING Create (no capability exists for this verb) | Edit (no capability exists for this verb)"
"Dispatcher","dispatcher","Technician Time / Non-work","Service","R","NO CAPABILITY","no id in the catalog governs this object"
"Dispatcher","dispatcher","Parts Catalog","Inventory","R","IMPLEMENTED","Read: inventory.catalog.read"
"Dispatcher","dispatcher","Inventory Stock","Inventory","R","IMPLEMENTED","Read: inventory.transaction.read, inventory.analytics.read"
"Dispatcher","dispatcher","Purchase Orders","Procurement","R","IMPLEMENTED","Read: reorder.purchaseOrder.read"
"Dispatcher","dispatcher","Receiving","Inventory","R","NOT GRANTED","Read (no capability exists for this verb)"
"Dispatcher","dispatcher","Transfer Orders","Inventory","R","IMPLEMENTED","Read: warehouse.transferOrder.read"
"Dispatcher","dispatcher","Serialized Assets","Inventory","R","NOT GRANTED","Read: none of inventory.serializedAsset.read"
"Dispatcher","dispatcher","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Dispatcher","dispatcher","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Technician","technician","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Technician","technician","Work Orders","Service","RE","PARTIAL","HAS Edit: workOrder.transition — MISSING Read (no capability exists for this verb)"
"Technician","technician","Dispatch Schedule","Service","R","NOT GRANTED","Read: none of fulfillment.coordinatedVisit.read"
"Technician","technician","Technician Time / Non-work","Service","RE","NO CAPABILITY","no id in the catalog governs this object"
"Technician","technician","Parts Catalog","Inventory","R","IMPLEMENTED","Read: inventory.catalog.read"
"Technician","technician","Inventory Stock","Inventory","R","IMPLEMENTED","Read: inventory.transaction.read"
"Technician","technician","Serialized Assets","Inventory","R","NOT GRANTED","Read: none of inventory.serializedAsset.read"
"Technician","technician","Equipment / Installed Base","Service","RE","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Technician","technician","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Warehouse Manager","warehouseManager","Accounts","CRM","R","NOT GRANTED","Read: none of account.record.read"
"Warehouse Manager","warehouseManager","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Warehouse Manager","warehouseManager","Sales Orders","Sales","R","NOT GRANTED","Read: none of salesOrder.read"
"Warehouse Manager","warehouseManager","Work Orders","Service","R","NOT GRANTED","Read (no capability exists for this verb)"
"Warehouse Manager","warehouseManager","Dispatch Schedule","Service","R","NOT GRANTED","Read: none of fulfillment.coordinatedVisit.read"
"Warehouse Manager","warehouseManager","Parts Catalog","Inventory","CRE","NOT GRANTED","Create (no capability exists for this verb) | Read: none of inventory.catalog.read | Edit: none of inventory.catalog.manage, inventory.catalog.activate"
"Warehouse Manager","warehouseManager","Inventory Stock","Inventory","CRE","NOT GRANTED","Create (no capability exists for this verb) | Read: none of inventory.transaction.read, inventory.analytics.read | Edit: none of inventory.stock.receive"
"Warehouse Manager","warehouseManager","Inventory Adjustments","Inventory","CRE","NOT GRANTED","Create: none of inventory.action.create | Read: none of inventory.action.read | Edit: none of inventory.cycleCount.reconcile"
"Warehouse Manager","warehouseManager","Purchase Orders","Procurement","R","NOT GRANTED","Read: none of reorder.purchaseOrder.read"
"Warehouse Manager","warehouseManager","Receiving","Inventory","CRE","NOT GRANTED","Create (no capability exists for this verb) | Read (no capability exists for this verb) | Edit: none of inventory.stock.receive"
"Warehouse Manager","warehouseManager","Transfer Orders","Inventory","CRE","NOT GRANTED","Create: none of inventory.transfer.create | Read: none of warehouse.transferOrder.read | Edit: none of inventory.transfer.dispatch, inventory.transfer.receive, inventory.transfer.cancel"
"Warehouse Manager","warehouseManager","Serialized Assets","Inventory","CRE","NOT GRANTED","Create (no capability exists for this verb) | Read: none of inventory.serializedAsset.read | Edit (no capability exists for this verb)"
"Warehouse Manager","warehouseManager","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Warehouse Manager","warehouseManager","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Warehouse Manager","warehouseManager","Audit Log","Administration","R","NOT GRANTED","Read: none of audit.event.read"
"Warehouse Associate","warehouseAssociate","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Warehouse Associate","warehouseAssociate","Sales Orders","Sales","R","NOT GRANTED","Read: none of salesOrder.read"
"Warehouse Associate","warehouseAssociate","Work Orders","Service","R","NOT GRANTED","Read (no capability exists for this verb)"
"Warehouse Associate","warehouseAssociate","Parts Catalog","Inventory","R","NOT GRANTED","Read: none of inventory.catalog.read"
"Warehouse Associate","warehouseAssociate","Inventory Stock","Inventory","RE","NOT GRANTED","Read: none of inventory.transaction.read, inventory.analytics.read | Edit: none of inventory.stock.receive"
"Warehouse Associate","warehouseAssociate","Inventory Adjustments","Inventory","R","NOT GRANTED","Read: none of inventory.action.read"
"Warehouse Associate","warehouseAssociate","Purchase Orders","Procurement","R","NOT GRANTED","Read: none of reorder.purchaseOrder.read"
"Warehouse Associate","warehouseAssociate","Receiving","Inventory","RE","NOT GRANTED","Read (no capability exists for this verb) | Edit: none of inventory.stock.receive"
"Warehouse Associate","warehouseAssociate","Transfer Orders","Inventory","RE","NOT GRANTED","Read: none of warehouse.transferOrder.read | Edit: none of inventory.transfer.dispatch, inventory.transfer.receive, inventory.transfer.cancel"
"Warehouse Associate","warehouseAssociate","Serialized Assets","Inventory","RE","NOT GRANTED","Read: none of inventory.serializedAsset.read | Edit (no capability exists for this verb)"
"Warehouse Associate","warehouseAssociate","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Warehouse Associate","warehouseAssociate","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Purchasing","accountingManager","Sales Orders","Sales","R","IMPLEMENTED","Read: salesOrder.read"
"Purchasing","accountingManager","Work Orders","Service","R","NOT GRANTED","Read (no capability exists for this verb)"
"Purchasing","accountingManager","Parts Catalog","Inventory","R","NOT GRANTED","Read: none of inventory.catalog.read"
"Purchasing","accountingManager","Inventory Stock","Inventory","R","NOT GRANTED","Read: none of inventory.transaction.read, inventory.analytics.read"
"Purchasing","accountingManager","Inventory Adjustments","Inventory","R","NOT GRANTED","Read: none of inventory.action.read"
"Purchasing","accountingManager","Purchase Orders","Procurement","CRE","PARTIAL","HAS Create: reorder.purchaseOrder.create | Read: reorder.purchaseOrder.read — MISSING Edit: none of reorder.purchaseOrder.void"
"Purchasing","accountingManager","Receiving","Inventory","R","NOT GRANTED","Read (no capability exists for this verb)"
"Purchasing","accountingManager","Transfer Orders","Inventory","R","NOT GRANTED","Read: none of warehouse.transferOrder.read"
"Purchasing","accountingManager","Serialized Assets","Inventory","R","NOT GRANTED","Read: none of inventory.serializedAsset.read"
"Purchasing","accountingManager","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Purchasing","accountingManager","Invoices / AR","Finance","R","NOT GRANTED","Read: none of finance.read"
"Purchasing","accountingManager","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Controller / Accounting","accountingManager","Accounts","CRM","R","IMPLEMENTED","Read: account.record.read"
"Controller / Accounting","accountingManager","Contacts","CRM","R","RULES ONLY","firestore.rules /contacts/{contactId}"
"Controller / Accounting","accountingManager","Customer Locations","CRM","R","RULES ONLY","firestore.rules /locations/{locationId}"
"Controller / Accounting","accountingManager","Opportunities","Sales","R","NOT GRANTED","Read: none of opportunity.read"
"Controller / Accounting","accountingManager","Sales Orders","Sales","R","IMPLEMENTED","Read: salesOrder.read"
"Controller / Accounting","accountingManager","Commissions","Sales / Finance","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Controller / Accounting","accountingManager","Work Orders","Service","R","NOT GRANTED","Read (no capability exists for this verb)"
"Controller / Accounting","accountingManager","Parts Catalog","Inventory","R","NOT GRANTED","Read: none of inventory.catalog.read"
"Controller / Accounting","accountingManager","Inventory Stock","Inventory","R","NOT GRANTED","Read: none of inventory.transaction.read, inventory.analytics.read"
"Controller / Accounting","accountingManager","Inventory Adjustments","Inventory","R","NOT GRANTED","Read: none of inventory.action.read"
"Controller / Accounting","accountingManager","Purchase Orders","Procurement","R","IMPLEMENTED","Read: reorder.purchaseOrder.read"
"Controller / Accounting","accountingManager","Receiving","Inventory","R","NOT GRANTED","Read (no capability exists for this verb)"
"Controller / Accounting","accountingManager","Transfer Orders","Inventory","R","NOT GRANTED","Read: none of warehouse.transferOrder.read"
"Controller / Accounting","accountingManager","Serialized Assets","Inventory","R","NOT GRANTED","Read: none of inventory.serializedAsset.read"
"Controller / Accounting","accountingManager","Equipment / Installed Base","Service","R","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Controller / Accounting","accountingManager","Invoices / AR","Finance","CRE","NOT GRANTED","Create: none of finance.invoice.issue | Read: none of finance.read | Edit: none of finance.adjustment.record"
"Controller / Accounting","accountingManager","Payments","Finance","CRE","NOT GRANTED","Create: none of finance.payment.apply | Read: none of finance.read | Edit: none of finance.refund.record"
"Controller / Accounting","accountingManager","Notifications","Platform","R","NO CAPABILITY","no id in the catalog governs this object"
"Controller / Accounting","accountingManager","Audit Log","Administration","R","NOT GRANTED","Read: none of audit.event.read"
