Business Role Id,Business Role,Object,CRUD Code,Capability IDs,Functional Role,Governance Type,Scope,SoD Group,Implemented,Active,Current Grant,Intended,Default Composition,Semantic Mapping Justification,Owner/Decision Reference
owner,Owner,Roles / Permissions,CRED,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
owner,Owner,Audit Log,R,audit.event.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Accounts,CRE,account.record.create account.record.read account.record.update,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Contacts,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
admin,Admin,Customer Locations,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
admin,Admin,Opportunities,CRE,opportunity.write opportunity.createSalesOrder opportunity.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Marketing Initiatives,CRE,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
admin,Admin,Sales Orders,CRE,salesOrder.write salesOrder.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Commissions,CRE,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
admin,Admin,Work Orders,CRE,workOrder.create workOrder.transition,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Dispatch Schedule,CRE,workOrder.transition,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Technician Time / Non-work,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
admin,Admin,Parts Catalog,CRE,inventory.catalog.manage inventory.catalog.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Inventory Stock,CRE,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Inventory Adjustments,CRE,inventory.action.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Purchase Orders,CRE,reorder.purchaseOrder.create reorder.purchaseOrder.read reorder.request.postPurchasingUpdate,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Receiving,CRE,inventory.stock.receive,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Transfer Orders,CRE,warehouse.transferOrder.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Serialized Assets,CRE,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Equipment / Installed Base,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
admin,Admin,Invoices / AR,CRE,finance.invoice.issue finance.read finance.adjustment.record,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Payments,CRE,finance.payment.apply finance.read finance.refund.record,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
admin,Admin,Notifications,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
admin,Admin,Users,CRED,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
admin,Admin,Roles / Permissions,CRE,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
admin,Admin,Audit Log,R,audit.event.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Accounts,CRE,account.record.create account.record.read account.record.update,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Contacts,CRE,(none),,RULE_GOVERNED,Team / Enterprise reporting,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesManager,Sales Manager,Customer Locations,CRE,(none),,RULE_GOVERNED,Team / Enterprise reporting,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesManager,Sales Manager,Opportunities,CRE,opportunity.write opportunity.createSalesOrder opportunity.read,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Marketing Initiatives,R,(none),,UNMODELLED,Team / Enterprise reporting,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesManager,Sales Manager,Sales Orders,CRE,salesOrder.write salesOrder.read,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Commissions,R,(none),,UNMODELLED,Team / Enterprise reporting,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesManager,Sales Manager,Work Orders,R,(none),,CAPABILITY_GOVERNED,Team / Enterprise reporting,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesManager,Sales Manager,Dispatch Schedule,R,(none),,CAPABILITY_GOVERNED,Team / Enterprise reporting,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesManager,Sales Manager,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Inventory Stock,R,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Equipment / Installed Base,R,(none),,RULE_GOVERNED,Team / Enterprise reporting,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesManager,Sales Manager,Invoices / AR,R,finance.read,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesManager,Sales Manager,Notifications,R,(none),,RULE_GOVERNED,Team / Enterprise reporting,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesManager,Sales Manager,Audit Log,R,audit.event.read,,CAPABILITY_GOVERNED,Team / Enterprise reporting,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Accounts,CRE,account.record.create account.record.read account.record.update,,CAPABILITY_GOVERNED,Own records / assigned territory,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Contacts,CRE,(none),,RULE_GOVERNED,Own records / assigned territory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesperson,Salesperson,Customer Locations,CRE,(none),,RULE_GOVERNED,Own records / assigned territory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesperson,Salesperson,Opportunities,CRE,opportunity.write opportunity.createSalesOrder opportunity.read,,CAPABILITY_GOVERNED,Own records / assigned territory,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Marketing Initiatives,R,(none),,UNMODELLED,Own records / assigned territory,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesperson,Salesperson,Sales Orders,CRE,salesOrder.write salesOrder.read,,CAPABILITY_GOVERNED,Own records / assigned territory,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Commissions,R,(none),,UNMODELLED,Own records / assigned territory,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesperson,Salesperson,Work Orders,R,(none),,CAPABILITY_GOVERNED,Own records / assigned territory,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
salesperson,Salesperson,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Own records / assigned territory,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Inventory Stock,R,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Own records / assigned territory,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Equipment / Installed Base,R,(none),,RULE_GOVERNED,Own records / assigned territory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
salesperson,Salesperson,Invoices / AR,R,finance.read,,CAPABILITY_GOVERNED,Own records / assigned territory,,YES,,,YES,,Capability governs the same business action this row describes.,
salesperson,Salesperson,Notifications,R,(none),,RULE_GOVERNED,Own records / assigned territory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
marketingManager,Marketing Manager,Accounts,R,account.record.read,,CAPABILITY_GOVERNED,Enterprise marketing,,YES,,,YES,,Capability governs the same business action this row describes.,
marketingManager,Marketing Manager,Contacts,R,(none),,RULE_GOVERNED,Enterprise marketing,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
marketingManager,Marketing Manager,Customer Locations,R,(none),,RULE_GOVERNED,Enterprise marketing,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
marketingManager,Marketing Manager,Opportunities,R,opportunity.read,,CAPABILITY_GOVERNED,Enterprise marketing,,YES,,,YES,,Capability governs the same business action this row describes.,
marketingManager,Marketing Manager,Marketing Initiatives,CRED,(none),,UNMODELLED,Enterprise marketing,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
marketingManager,Marketing Manager,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Enterprise marketing,,YES,,,YES,,Capability governs the same business action this row describes.,
marketingManager,Marketing Manager,Notifications,R,(none),,RULE_GOVERNED,Enterprise marketing,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
fieldManager,Service Manager,Accounts,R,account.record.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Contacts,R,(none),,RULE_GOVERNED,Service organization,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
fieldManager,Service Manager,Customer Locations,R,(none),,RULE_GOVERNED,Service organization,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
fieldManager,Service Manager,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Work Orders,CRE,workOrder.create workOrder.transition,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Dispatch Schedule,CRE,workOrder.transition,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Technician Time / Non-work,CRE,(none),,RULE_GOVERNED,Service organization,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
fieldManager,Service Manager,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Inventory Stock,R,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Serialized Assets,R,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Equipment / Installed Base,CRE,(none),,RULE_GOVERNED,Service organization,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
fieldManager,Service Manager,Invoices / AR,R,finance.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
fieldManager,Service Manager,Notifications,R,(none),,RULE_GOVERNED,Service organization,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
fieldManager,Service Manager,Audit Log,R,audit.event.read,,CAPABILITY_GOVERNED,Service organization,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Accounts,R,account.record.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Contacts,R,(none),,RULE_GOVERNED,Assigned service region,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
dispatcher,Dispatcher,Customer Locations,R,(none),,RULE_GOVERNED,Assigned service region,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
dispatcher,Dispatcher,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Work Orders,CRE,workOrder.create workOrder.transition,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Dispatch Schedule,CRE,workOrder.transition,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Technician Time / Non-work,R,(none),,RULE_GOVERNED,Assigned service region,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
dispatcher,Dispatcher,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Inventory Stock,R,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Purchase Orders,R,reorder.purchaseOrder.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Receiving,R,(none),,CAPABILITY_GOVERNED,Assigned service region,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
dispatcher,Dispatcher,Transfer Orders,R,warehouse.transferOrder.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Serialized Assets,R,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Assigned service region,,YES,,,YES,,Capability governs the same business action this row describes.,
dispatcher,Dispatcher,Equipment / Installed Base,R,(none),,RULE_GOVERNED,Assigned service region,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
dispatcher,Dispatcher,Notifications,R,(none),,RULE_GOVERNED,Assigned service region,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
technician,Technician,Customer Locations,R,(none),,RULE_GOVERNED,Assigned work only,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
technician,Technician,Work Orders,RE,workOrder.transition,,CAPABILITY_GOVERNED,Assigned work only,,YES,,,YES,,Capability governs the same business action this row describes.,
technician,Technician,Dispatch Schedule,R,(none),,CAPABILITY_GOVERNED,Assigned work only,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
technician,Technician,Technician Time / Non-work,RE,(none),,RULE_GOVERNED,Assigned work only,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
technician,Technician,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Assigned work only,,YES,,,YES,,Capability governs the same business action this row describes.,
technician,Technician,Inventory Stock,R,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Assigned work only,,YES,,,YES,,Capability governs the same business action this row describes.,
technician,Technician,Serialized Assets,R,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Assigned work only,,YES,,,YES,,Capability governs the same business action this row describes.,
technician,Technician,Equipment / Installed Base,RE,(none),,RULE_GOVERNED,Assigned work only,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
technician,Technician,Notifications,R,(none),,RULE_GOVERNED,Assigned work only,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
warehouseManager,Warehouse Manager,Accounts,R,account.record.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Customer Locations,R,(none),,RULE_GOVERNED,Warehouse / enterprise inventory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
warehouseManager,Warehouse Manager,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Work Orders,R,(none),,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
warehouseManager,Warehouse Manager,Dispatch Schedule,R,(none),,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
warehouseManager,Warehouse Manager,Parts Catalog,CRE,inventory.catalog.manage inventory.catalog.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Inventory Stock,CRE,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Inventory Adjustments,CRE,inventory.action.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Purchase Orders,R,reorder.purchaseOrder.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Receiving,CRE,inventory.stock.receive,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Transfer Orders,CRE,warehouse.transferOrder.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Serialized Assets,CRE,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseManager,Warehouse Manager,Equipment / Installed Base,R,(none),,RULE_GOVERNED,Warehouse / enterprise inventory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
warehouseManager,Warehouse Manager,Notifications,R,(none),,RULE_GOVERNED,Warehouse / enterprise inventory,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
warehouseManager,Warehouse Manager,Audit Log,R,audit.event.read,,CAPABILITY_GOVERNED,Warehouse / enterprise inventory,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Customer Locations,R,(none),,RULE_GOVERNED,Assigned warehouse,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
warehouseAssociate,Warehouse Associate,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Work Orders,R,(none),,CAPABILITY_GOVERNED,Assigned warehouse,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
warehouseAssociate,Warehouse Associate,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Inventory Stock,RE,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Inventory Adjustments,R,inventory.action.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Purchase Orders,R,reorder.purchaseOrder.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Receiving,RE,inventory.stock.receive,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Transfer Orders,RE,warehouse.transferOrder.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Serialized Assets,RE,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Assigned warehouse,,YES,,,YES,,Capability governs the same business action this row describes.,
warehouseAssociate,Warehouse Associate,Equipment / Installed Base,R,(none),,RULE_GOVERNED,Assigned warehouse,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
warehouseAssociate,Warehouse Associate,Notifications,R,(none),,RULE_GOVERNED,Assigned warehouse,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
purchasingManager,Purchasing Manager,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Work Orders,R,(none),,CAPABILITY_GOVERNED,Enterprise procurement,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
purchasingManager,Purchasing Manager,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Inventory Stock,R,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Inventory Adjustments,R,inventory.action.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Purchase Orders,CRE,reorder.purchaseOrder.create reorder.purchaseOrder.read reorder.request.postPurchasingUpdate,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Receiving,R,(none),,CAPABILITY_GOVERNED,Enterprise procurement,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
purchasingManager,Purchasing Manager,Transfer Orders,R,warehouse.transferOrder.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Serialized Assets,R,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Equipment / Installed Base,R,(none),,RULE_GOVERNED,Enterprise procurement,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
purchasingManager,Purchasing Manager,Invoices / AR,R,finance.read,,CAPABILITY_GOVERNED,Enterprise procurement,,YES,,,YES,,Capability governs the same business action this row describes.,
purchasingManager,Purchasing Manager,Notifications,R,(none),,RULE_GOVERNED,Enterprise procurement,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
accountingManager,Accounting Manager,Accounts,R,account.record.read,,CAPABILITY_GOVERNED,Enterprise finance,,YES,,,YES,,Capability governs the same business action this row describes.,
accountingManager,Accounting Manager,Contacts,R,(none),,RULE_GOVERNED,Enterprise finance,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
accountingManager,Accounting Manager,Customer Locations,R,(none),,RULE_GOVERNED,Enterprise finance,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
accountingManager,Accounting Manager,Opportunities,R,opportunity.read,,CAPABILITY_GOVERNED,Enterprise finance,,YES,,,YES,,Capability governs the same business action this row describes.,
accountingManager,Accounting Manager,Sales Orders,R,salesOrder.read,,CAPABILITY_GOVERNED,Enterprise finance,,YES,,,YES,,Capability governs the same business action this row describes.,
accountingManager,Accounting Manager,Commissions,CRE,(none),,UNMODELLED,Enterprise finance,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
accountingManager,Accounting Manager,Work Orders,R,(none),,CAPABILITY_GOVERNED,Enterprise finance,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
accountingManager,Accounting Manager,Parts Catalog,R,inventory.catalog.read,,CAPABILITY_GOVERNED,Enterprise finance,,YES,,,YES,,Capability governs the same business action this row describes.,
